quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2018-12-31,2018,Q4,Robbery,74.0,0.02869329197363319
2018-12-31,2018,Q4,Public order offences,60.0,0.023264831329972858
2018-12-31,2018,Q4,Summary non-motoring,47.0,0.018224117875145406
2018-12-31,2018,Q4,Criminal damage and arson,27.0,0.010469174098487785
2018-12-31,2018,Q4,Summary motoring,24.0,0.009305932531989143
2018-12-31,2018,Q4,Other,1.0,0.00038774718883288094
2019-03-31,2019,Q1,Miscellaneous crimes against society,459.0,0.19140950792326938
2019-03-31,2019,Q1,Violence against the person,391.0,0.16305254378648873
2019-03-31,2019,Q1,Sexual offences,290.0,0.12093411175979983
2019-03-31,2019,Q1,Drug offences,288.0,0.12010008340283569
2019-03-31,2019,Q1,Not known,268.0,0.11175979983319433
2019-03-31,2019,Q1,Fraud offences,236.0,0.09841534612176814
2019-03-31,2019,Q1,Theft offences,161.0,0.06713928273561301
2019-03-31,2019,Q1,Possession of weapons,77.0,0.03211009174311927
2019-03-31,2019,Q1,Robbery,70.0,0.029190992493744787
2019-03-31,2019,Q1,Public order offences,57.0,0.0237698081734779
2019-03-31,2019,Q1,Summary non-motoring,42.0,0.01751459549624687
2019-03-31,2019,Q1,Criminal damage and arson,35.0,0.014595496246872394
2019-03-31,2019,Q1,Summary motoring,24.0,0.010008340283569641
2019-06-30,2019,Q2,Miscellaneous crimes against society,417.0,0.1858288770053476
2019-06-30,2019,Q2,Violence against the person,396.0,0.17647058823529413
2019-06-30,2019,Q2,Drug offences,304.0,0.1354723707664884
2019-06-30,2019,Q2,Not known,236.0,0.1051693404634581
2019-06-30,2019,Q2,Sexual offences,228.0,0.10160427807486631
2019-06-30,2019,Q2,Fraud offences,208.0,0.09269162210338681
2019-06-30,2019,Q2,Theft offences,146.0,0.06506238859180036
2019-06-30,2019,Q2,Possession of weapons,97.0,0.04322638146167558
2019-06-30,2019,Q2,Robbery,69.0,0.03074866310160428
2019-06-30,2019,Q2,Public order offences,51.0,0.022727272727272728
2019-06-30,2019,Q2,Summary non-motoring,43.0,0.019162210338680926
