quarter_end,year,quarter,age_band,age_order,count
2022-03-31,2022,Q1,2 years or more,9.0,4036.0
2022-06-30,2022,Q2,Under 4 weeks,1.0,7201.0
2022-06-30,2022,Q2,4 to 8 weeks,2.0,5555.0
2022-06-30,2022,Q2,8 to 12 weeks,3.0,4560.0
2022-06-30,2022,Q2,12 to 16 weeks,4.0,4239.0
2022-06-30,2022,Q2,16 to 20 weeks,5.0,3733.0
2022-06-30,2022,Q2,20 to 26 weeks,6.0,4351.0
2022-06-30,2022,Q2,6 months to under 1 year,7.0,11050.0
2022-06-30,2022,Q2,1 to 2 years,8.0,12155.0
2022-06-30,2022,Q2,2 years or more,9.0,4016.0
2022-09-30,2022,Q3,Under 4 weeks,1.0,6575.0
2022-09-30,2022,Q3,4 to 8 weeks,2.0,5684.0
2022-09-30,2022,Q3,8 to 12 weeks,3.0,5093.0
2022-09-30,2022,Q3,12 to 16 weeks,4.0,4590.0
2022-09-30,2022,Q3,16 to 20 weeks,5.0,3704.0
2022-09-30,2022,Q3,20 to 26 weeks,6.0,4796.0
2022-09-30,2022,Q3,6 months to under 1 year,7.0,12747.0
2022-09-30,2022,Q3,1 to 2 years,8.0,11922.0
2022-09-30,2022,Q3,2 years or more,9.0,4979.0
2022-12-31,2022,Q4,Under 4 weeks,1.0,5815.0
2022-12-31,2022,Q4,4 to 8 weeks,2.0,6282.0
2022-12-31,2022,Q4,8 to 12 weeks,3.0,4990.0
2022-12-31,2022,Q4,12 to 16 weeks,4.0,4006.0
2022-12-31,2022,Q4,16 to 20 weeks,5.0,3565.0
2022-12-31,2022,Q4,20 to 26 weeks,6.0,4972.0
2022-12-31,2022,Q4,6 months to under 1 year,7.0,13210.0
2022-12-31,2022,Q4,1 to 2 years,8.0,11123.0
2022-12-31,2022,Q4,2 years or more,9.0,5608.0
2023-03-31,2023,Q1,Under 4 weeks,1.0,7557.0
2023-03-31,2023,Q1,4 to 8 weeks,2.0,5784.0
2023-03-31,2023,Q1,8 to 12 weeks,3.0,4786.0
2023-03-31,2023,Q1,12 to 16 weeks,4.0,3174.0
2023-03-31,2023,Q1,16 to 20 weeks,5.0,3735.0
2023-03-31,2023,Q1,20 to 26 weeks,6.0,4783.0
2023-03-31,2023,Q1,6 months to under 1 year,7.0,12438.0
2023-03-31,2023,Q1,1 to 2 years,8.0,10446.0
2023-03-31,2023,Q1,2 years or more,9.0,6084.0
